Mode,Conversation,Exchange,Experiment,Q,A,Notes,BA1,BA2,BA3,BA4,BA5,BA6
PER,10,12,TEST,And why did it become independent?,Because in 1991 the Soviet Union collapsed and all the now 15 countries that were part of it gained its independence.,None,,,,,,
PER,10,13,TEST,"So is there any other Moldovan language that you speak, or...?",There is such a thing as a Moldovan dialect. Which is a mixture between Romanian and Russian.,,"Moldova's national language is Romanian, but everyone also speaks Russian.","Well everyone in Romania speaks... aah I'm from Moldova. Everyone in Moldova speaks Romanian and Russian, and everything else I learned at university or in school.",,,,
PER,10,14,TEST,Do you have any hobbies?,"Sure! I love rock climbing and I love biking. I love reading, although I should do it more often. And basically I like all sports that don't involve going to the gym.",,"Ummm I like singing, doing sports, reading, hanging out with friends and traveling","I love volleyball, biking, boxing and rock-climbing.","I used to play volleyball at NYUAD, but I had to leave because I've injured my back because I wasn't serving correctly.","I love drawing sometimes, but abstract shapes, basically doodling. I love volleyball and biking a lot and I am very interested in negotiation as a science and the aspects of communication.",,
PER,10,15,TEST,And you said you liked rock climbing. Have you climbed any like mountains?,I really like rock climbing. I have climbed mountains but they didn't include that much rock climbing. You know what I mean? It was more of a walking like a hike. I've climbed the Fuji mountain in Japan. And climbed a mountain in Lebanon. But I mostly rock-climb indoors.,,Sure.,,,,,
PER,10,16,TEST,So you talked about Lebanon and in Japan. Do you travel a lot?,I do happen to travel a lot because of the university. At least I used to before graduating three days ago. But every time I travel it's almost with a purpose. It's not just seeing new places.,,"I've been to Buenos Aires and New York for a semester each and I've done two January terms, in Shanghai and Paris.",Yes.,,,,
PER,10,17,TEST,And where have you traveled yet?,"I've been to New York City, to Buenos Aires, to Paris and Shanghai. And then a few cities in Japan and Oman and Lebanon.",,"I've been to Buenos Aires and New York for a semester each and I've done two January terms, in Shanghai and Paris.",,,,,
PER,10,18,TEST,And you just said you just graduated right?,Yes.,,I graduated in May 2019.,Yes.,,,,
PER,10,19,TEST,How did it feel?,"It didn't hit me yet because most of my friends are still here. I'm here working on PPTP, this is the program that we're part of right now. And I feel very thankful and grateful and happy, but I feel like in a few months I'll start dealing with this existential crisis that comes with graduating.",Subpar,"Maybe it's because it's been so recent, but the graduation was spectacular and my family was here and saying goodbye to friends and all that. I've also loved of course all the study abroad experiences, they have changed me so much.",I loved it!.,,,,
PER,10,20,TEST,Have you decided what you want to do afterwards?,"I would love to work here. Maybe in consulting or transfer pricing which is tax. And I'm applying right now for jobs and I'm in the interview process because in the consulting world there's many many interviews one after another for the same role. So if that doesn't work out I would go back to Moldova and look for a job in Europe. If it works out, I'd stay here and live here for a couple of years and then see what happens.",,"I will be working in Tax, Transfer Pricing, at PwC starting August 2019!",I would love to get an MBA!,,,,
PER,10,21,TEST,And why do you want to stay in the UAE?,"Because the Sheik's plan worked, of us falling in love with this place. And I never actually thought I would want to stay here. I thought I'm just coming to get my education and then leave, but actually after four years here I just became so accustomed to the culture. And especially like Abu Dhabi and Dubai. The other more conservative Emirates - I don't know if I would fit in so well. But everywhere else around here it feels like a nice life.",Subpar,"I love the UAE, I don't see myself staying forever in any place ever. I love living in different places.",,,,,
PER,10,22,TEST,And how do you like Abu Dhabi as a city?,"So I feel like Abu Dhabi is more family oriented which is not exactly for me because I don't plan to have a family, to build my own family too soon. After the next 10 years I think. But it's still a good place to be and it's more calm. As in peace of mind.",,Abu Dhabi is one of the safest cities in the world.,,,,,
PER,10,23,TEST,You said you don't want to have a family in the next 10 years. Is it because of your career or is there any other reason?,"So, first of all I don't want to rush it. Whatever the reason is, I want to make sure I build a family with the exactly right person, because I'd rather be single than with the wrong person. And I see it all around me - parents of my friends divorcing and all families having problems. So I want I want to be more cautious. Another thing is the issue of overpopulation. I want to make sure I contribute with a new kid at the right time and that I have the right resources and I'm already old enough to also teach my children how to live sustainably, and since I don't want to have many children, one or two maximum, I don't feel like there's a rush.",,"In 10 years I hope to have my own business. I definitely want to contribute to the world in a way, I am very passionate about climate change, overpopulation issues, philanthropy in general. So I hope to be a businesswoman and have an impact on the world.",Can you ask me something else?,,,,
PER,10,24,TEST,By what I get I feel like sustainability is a big part of your life. And why is that?,I really love the environment and I really try to live sustainably. Doesn't always work because of the products that are available. Sometimes you can't help it if you need a product that's wrapped in plastic. And you have no choice. But I really love the environment. I just got a tattoo of a tree on my my back as well. A pine tree. I just feel like the Earth is so beautiful that we have to take care of it. And that's another reason why I'm not rushing with having a family. Because I feel like climate change would impact so much the lives of our children that I want to be mindful whether I want to bring another child into this world. If the world's not seeming like it's going to a good direction.,Subpar,I'm not sure.,,,,,
PER,10,25,TEST,And you said you have a tattoo of a pine tree. Do you have any other tattoos?,No I only got that tattoo two months ago. Which is crazy because my family is against tattoos and it's my first one and I hope it's my last one.,,I don't.,No.,,,,
PER,10,26,TEST,And does your family know and how did they react to it?,"So I first told my mom. My mom is who wears the pants in the family. So if I could just make her not be too angry about it everyone else would be fine. So I told her at first then she was OK. She was just begging me not to get another one. And I just found out that she actually has been wanting a tattoo for the past 10 years too, but she said she didn't get it because she didn't want me to get one after her. So that's quite ironic.",Subpar,Of course they do.,,,,,
PER,10,27,TEST,Do you have any siblings?,I have a brother.,,I have a brother.,,,,,
PER,10,28,TEST,"Younger, older?",He's 5 years older.,Subpar,"So my family consists of four people. It's my mom, my dad and my brother. My brother is older and he is a software engineer in Moldova.",,,,,
PER,10,29,TEST,"Oh, older. And, where is he?",He's back in Moldova.,,I like to keep things like this private.,,,,,
PER,10,30,TEST,Do you not interact with him much?,I do. I do. He's also working on his own stuff. And he has a long term girlfriend you know. So we're both busy. But when we have time we definitely Skype.,,For sure!,,,,,
PER,10,31,TEST,And then you just graduated. If you were to summarize your time in NYUAD how would that be?,"I feel like I've grown so much at NYUAD. I've also grown accustomed to meeting good quality people all the time. And I feel so privileged to have all the resources both on campus and to travel abroad and learn there. So I feel like I've grown so much, but I also feel really grateful because it feels like it's not my merit. I feel like I'm very blessed.",,"I'll miss my friends a lot and I'll miss constantly being in an environment with other intelligent, tolerant and like-minded people.","Studying at NYUAD is lovely! Good-quality people, a lot of things to do on campus, great weather and lots of traveling.",,,,
PER,10,32,TEST,And if you were to give an advice to your freshman self. What would that be?,"To my freshman self I would just say that you'd be surprised how great you are. Because in my freshman year I had the imposter syndrome, like you know, ""I definitely don't belong here, everyone else is so amazing"". But I realized people are amazing in different ways and there are some things that I can do that other people can't. And it took me a while to realize that the things that I can do aren't average either. And so I would just tell my freshman self to relax. And just keep working and having fun. I'll be fine.",,"The advice I'd give my younger self would be, ""No one knows what they're doing and the fact that you're still working hard and trying to find yourself is already admirable, so relax"".",,,,,
PER,10,33,TEST,"And do you interact with people from other nationalities or is it just from your country, your culture?",Yeah I mean all the time. Most of my friends are desi.,,Sure.,I sure made a lot of friends at university.,,,,
PER,10,34,TEST,Oh okay.,"India and Pakistan, most of them. I interact with some people from Europe, not specifically from Moldova because there's so few of us and we're in different years and different majors, so I don't really gravitate towards any particular nationality, just whoever is super nice. And I feel like because I've had a few really close friends in the desi community I've kind of become adopted by it because their circle is so tight. That I kind of automatically by the domino effect started becoming friends with more and more people.",,(Silent nod),,,,,
PER,10,35,TEST,"And since coming here, have you broken any stereotypes? Things that you thought of people earlier and now that mentality has changed?","I guess we all come with some preconceptions. Mine I feel are more subconscious because I consciously try to be accepting and tolerant and be like ""Not better, not worse, just different"" you know. But on a subconscious level I think there might be still some, you know, preconceptions of when I see someone, by their looks I might assume their status or something and I try not to think like that. A thing that I improved on during the years, when it comes to my mentality, is about feminism and not judging other women. Because I was like... I was quite judgmental and I didn't know. I didn't know I'm judgmental. I thought, for example, like if somebody didn't shave their legs I would notice and be like ""wow"", you know, ""they don't care"", but it only took me later to realize this internalized misogyny that I'm forcing on myself and others.",,I feel like I've definitely become more tolerant and accepting.,It makes you more tolerant and you understand the world better.,,,,
PER,10,36,TEST,And has your hair always been this color or did you dye it?,So I started to dye my hair red when I was 14.,,"I started dying my hair red since I was about 15. I just like that it stands out, since I like attention.",,,,,
PER,10,37,TEST,Oh and why? Was it just like something you like?,"Yeah yeah, kind of, I guess I like attention.",,"Yes, exactly.",,,,,
PER,10,38,TEST,It makes you stand out.,"Thank you. Yes I guess. I don't have another crazy standing out feature, I thought ""might as well dye my hair red"". But actually lately I've been thinking whether I should die it back to brown because although I like attention I start to notice that I like attention when I want it. And now it's like very easy to recognize me in the crowd and I want to go more incognito in the future.",,(Adjusts Hair),,,,,
PER,10,39,TEST,And I see your hoodie. Were you an RA?,Yes I'm a Resident Assistant. Even this year and in summer as well.,,Yes.,,,,,
PER,10,40,TEST,And which building?,"I've been an RA in A5, but this in an A6 hoodie because I stole it from Fahad.",None,,,,,,
PER,10,41,TEST,And how was your experience being an RA?,"I love being an RA! In junior year I thought I really really wanted to be an RA and I was really really hung on this idea. When I applied I was thinking about it so much and then I got it and it was exactly what I expected it to be. It's a lot of responsibility, but also a lot of love that comes with it because when you're there for your residents and you're supportive that kind of bounces back and gets back to you. And I just love being part of the community and being able to improve it directly.",,I loved it!.,,,,,
PER,10,42,TEST,"And how's working with this as a department? Because we hear a lot of issues from students on campus about their bosses and how they're not responding to different issues? How has that experience been, working with that department?","Of course every department has its flaws, including ResEd. I feel like some of its flaws are exaggerated. Because students don't know what goes into a decision, that it's not just the ResEd's decision and sometimes they're tied by finance, or Serco. Definitely the people in the ResEd are very open minded. They're ready to listen to ideas but there are some things that are hard to change because you would have to change the whole system and that's hard to do.",None,,,,,,
PER,10,43,TEST,And this conventional NYUAD question: where have you studied away?,Yeah I studied abroad in Buenos Aires and in New York and I had j-term in Paris and Shanghai.,,"I've been to Buenos Aires and New York for a semester each and I've done two January terms, in Shanghai and Paris.",,,,,
PER,10,44,TEST,"Wow.. In terms of study away, did you spend a lot of time abroad? Which two experiences did you like better?","I loved Buenos Aires because I learned Spanish in the semester, but it was close to Romanian so again. But in New York, I loved the city so much that I really want to go back.",,My favorite place ever is New York. I hope to get back there at some point. I just love how vibrant the city is and there's always something to do and people are just the right amount of polite and minding their own business.,,,,,
PER,10,45,TEST,"And then, after you learned Spanish did you try interacting with Spanish people?","Definitely. Definetely. Afterwards I had the summer internship in New York and I was working at a music venue and we had our own cooks. And they were from Honduras and Guatemala. Their English was a bit broken and I was so excited to speak to them in Spanish and they were also so excited to see me try even though my Spanish was broken, but I was quite confident and having fun. So we became close and they were sneaking in avocados for me when nobody was looking.",,Sure.,,,,,
PER,10,46,TEST,It's also said that when you speak the same language you are able to bond better with the other person.,Yes. Yes exactly. Exactly.,,For sure!,"Yes, exactly.",,,,
EDU,1,1,TRAIN,OK so when does this semester start?,"The semester here starts and at the end of August, until December, that's one semester. And then there's J-term, which is a month in January when you study one class every day, but you get the credits for a whole semester for that month. And then the spring semester is from February to May.",,The academic year usually starts at the end of August.,,,,,
EDU,1,2,TRAIN,How do I apply for NYUAD? Are there scholarships? So from the financial point of view.,So you apply to NYUAD through this website that's called Common Application which you can use for other universities at the same time. And there are scholarships that come from this university. Most students that are here are actually on that scholarship because that is the big incentive from students from all over the world to come to the Middle East to study when they've never been here.,,You apply to NYUAD through this website that's called Common Application which you can use to apply to multiple universities at the same time.,"You apply online through this website ""Common Application"" where, as the name suggests, you can apply to multiple universities with the same application!",,,,
EDU,1,3,TRAIN,How much is this scholarship and what does it cover?,"To be honest, for different students it's different. There are some students that only get half of it, if they're quite well off, but most of the other students are quite poor or like can't afford it from their financial statements so they get everything covered. Tuition, and books, and travel, and food, and accommodation, and even some extra stipend.",,"Many students here are on full scholarship, but all of them have at least partial scholarships.",,,,,
EDU,1,4,TRAIN,OK and who covers this money? I mean who gives this scholarship? Is this the American government? Or the UAE the government? Is it a combination?,It is the Sheikh basically. Literally he covers the whole thing.,,Our Sheikh pays for our scholarships.,,,,,
EDU,1,5,TRAIN,Do you have to be here during the summer? Are you... Is that a mandatory thing for a student?,"No, but I always choose to do something during the summer like internships or research because it's a great way to fill up my CV, prepare for the job market.",,"You don't have to, but it surely looks good on the CV to do some internships or research.",,,,,
EDU,1,6,TRAIN,And in which language do you attend the classes and is it obligatory to attend in other foreign languages.,"The classes we attend them in English. All classes are in English because it's an American university, and though you could take some other classes, but they're not really that official. Some other language classes. So the best way to study a language here is to go study abroad like I did in Buenos Aires and I learned Spanish.",,All classes are in English and it is not mandatory to take any language classes.,,,,,
EDU,1,7,TRAIN,And from the beginning of your study you know what... which orientation you're going to take?,Like what I want to study?,,You have to declare your major at the end of the second year.,,,,,
EDU,1,8,TRAIN,Yes. Exactly. Or there is a system it is in this way that in first year you do some courses and after you decide what you actually want to do?,"You have to declare your major at the end of the second year. So you can take whatever classes you want, but you have to keep in mind that some majors... all majors have requirements, classes that you must take, and for some majors there's more requirements. So if you start very late, you are not going to be able to do some majors, right? For example like engineering. You have to start earlier, there's more classes for engineering than for music, that are mandatory. And some of the classes they also follow each other. There's prerequisite. So basically you have the freedom, but you kind of should look at your options carefully and make a plan and try them out.",,"You choose your classes, but you need to take some specific ones for your major and some from specific categories.",You have to declare your major at the end of the second year.,Graduating requirements differ from major to major so it depends on your situation.,,,
EDU,1,9,TRAIN,"So you... When you come here you just, I mean, you're basically choosing the university not like what you're going to do straight away.","Yes, they want you to have a plan. So in your application you write what you would like to study and why, what are your goals, but nobody checks if you follow through with that.",,"Yes, exactly.",You have to declare your major at the end of the second year.,,,,
EDU,1,10,TRAIN,"And perhaps you can make your own orientation, for example, there are some certain orientation for arts, only mostly art classes.",What do you mean orientation?,,You can do multiple majors.,NYUAD offers Bachelor of Science and Arts.,,,,
EDU,1,11,TRAIN,"I mean, for example, you have an idea that you want to do something in between technology and music.",The direction.,,Of course you can!,,,,,
EDU,1,12,TRAIN,"Yes. Direction. Yes. So you have possibility and the freedom to create perhaps like a tuned major from two different schools to combine, so to have a different specialty on something.","Yes, you can combine majors. It's considered still one school, because in NYU New York you do have different schools. You know, school of arts, school of science, you know, you have that... Here in NYU Abu Dhabi it's one school with 1300 students but different majors. So you can definitely combine majors, because they're in the same classrooms, but the different classes. So that's why I have a music major and economics minor.",,Yes.,You can do multiple majors.,,,,
EDU,1,13,TRAIN,Can you... When do you start your studies and is there any way that you learn what possibility you have to find a job if you follow this direction that you like mostly?,"There are events in which you can speak to alumni, like people who attended university and they can tell you more. But there is Career Development Center which is a department that helps you out with your career, planning your career. But nobody can tell you for sure ever. And a lot of the finding the job is on you, and my mom was also very surprised because back in her days when she would do a whole degree, the state with place her as a doctor somewhere. That was our communist Moldovan. But here now you have to find your own, you create your own path completely.",,"There are events in which you can speak to alumni and there is Career Development Center, which is a department that helps you plan your career. But finding a job is on you.",,,,,
EDU,1,14,TRAIN,What is the percentage of people that go into work straight away from the degree?,"There are some statistics, but it's not very clear if they're skewed because you have an impression that the people who are gonna take those surveys are the ones who got the job. Because if you didn't get the job, you're like, ""Oh I'm not going to take this survey yet because I'm still looking"". So it says that, I don't know, like 90 percent or 95 percent have a job and 3 percent took a gap year or something very exaggerated like that, but they don't... People sometimes take like half a year to find a job after graduation.",,"There are some statistics, but it could be that the people who take those surveys are the ones who got the job. It's more than 90% though.",,,,,
EDU,1,15,TRAIN,Do most people stay in Abu Dhabi or the UAE or they just go around the world?,"Both, both. I feel like it's half and half. There are a lot of people saying, which is quite surprising. Nobody is forcing us. Nobody is even insinuating that, ""Hey we're giving you the scholarship from the country, so you must stay here"", which is amazing. And because nobody is forcing anybody, you kind of start loving this place and you want to kind of stay. You're like, ""Hey, this is good, I like this!"".",,"More people go to another country after graduation, but a considerable number stay in the UAE.",,,,,
EDU,1,16,TRAIN,"Yes of course because they give you the money, so you start to look at the place because they do something good for you and so you appreciate it. What are the negative aspects of NYUAD?","So relationships on campus... when you're dating someone, they're very sped up because you're so close to that person all the time anywhere on campus and you see each other all the time. So a relationship of one year could feel like three years because you're just there all the time. You don't have to make any effort or any scheduling to meet each other you're just there accidentally you even meet when you're dating. Another negative aspect is like... in study-aways your friends probably are studying away at different times for a whole semester so you might not see your friends for a year and a half because you're like, one semester you're studying, another semester they are studying away. So it's hard, and like the relationships are harder. And another thing is that on this campus sometimes there's not that much... It's a bit isolated from the city. It was more so before the public bus was introduced.",,"Relationships are harder to maintain because of all the study-aways. Also, the campus is a bit isolated from the city so it's not as lively.",,,,,
EDU,1,17,TRAIN,Oh it was not straight away the public bus?,"No no no, maybe last year. But now it's better.",,No.,,,,,
EDU,1,18,TRAIN,"Is there for people who perhaps feel depression or isolated, for the students is there a way to make them feel better or is something organized to help them, because it happens to young people who live far from their homes, their families...","Of course of course. For freshmen who are just starting the university there is this show called RealAD, like reality show, Real AD. And it's about all the struggles that students go through, created by upperclassmen for freshmen so that they see that, you know, many students actually don't understand what's going on in their classrooms. Many students misunderstand other cultures. Many students feel like everyone is smarter than them, you know, or many students miss home. So they understand that it's fine, and also there's counseling services. There's also many events in which you celebrate culture or different holidays and it's quite good, actually. I feel like they're quite successful. And then in this university the stigma about mental health is smaller than in other places. So although it's not perfect, it's still better than in other places. It's easier for them to go and seek help or go to a counselor and there's not such a big stigma.",,There's counseling services and many events to connect and talk about your experiences.,,,,,
EDU,1,19,TRAIN,I have a question. How do you feel about being a woman in the UAE as a student?,"In public places, like when I'm being served somewhere, food or something, I feel very respected when I go to a clinic or something. I'm very respected. I feel it's also because I'm white. Definitely, you know, they smile extra for me. But also at the same time there's this hardship every time a walk on the street, people really stare. Especially a South-Asian men. And it's just so hard. The other day I had someone pull up with a car and follow me slowly and tried to talk to me. And it doesn't matter what I wear, sometimes I also wear shorts, like back at home. But sometimes I decide, ""You know what, today I don't want attention at all."" I'm gonna wear long jeans and a long shirt - doesn't help. So it's this.. you know.. at home people stare as well, of course, everywhere, but they're a bit more subtle. You know if you look at them they look away. Here they just stare at you and you look at them and they continue.",,"I feel safe, but women here do get a lot of unwanted stares.",,,,,
EDU,1,20,TRAIN,Do you feel safe?,"I feel very safe. I feel like my privacy is invaded and it just feels irritating and unfair all the time. But I feel way more safe. I mean, with the female seats on the bus where nobody can sit next to me and people leave me alone, that's wonderful, because even at home people would sit next to me on the bus and start talking to me and not get the point that I'm sitting alone for a reason. And at night I also feel very safe here. This is one of the safest countries in the world, it is very interesting, in a place where people invade your privacy so much it's also very safe in terms of crimes.",,"I feel safe, but women here do get a lot of unwanted stares.",,,,,
EDU,1,21,TRAIN,"It's because they apply the law, that's why. That's the reason.... if they don't apply the law, how to be safe? Anyway... how... Every country has a different education system. So some countries they are more focused on academics, some other countries they are less focused on academics. This difference in the level... of the education level, how it is faced? Because you have what you attend the courses, the level I think that it must be similar and the material is similar. So how... What does the university do to adjust these differences between the knowledge of all the students? It's because they have to be in the same level to be able to attend the classes.","Well first of all they start with selecting the brightest students they can find from around the world and they're trying not to be too biased and select only from international programs, but they are a little bit biased because, you know, when someone has done some international schooling or some exchange program before, then they're more adapted and this is an indicator that they'll be successful here. But even with that it's still different, right? In the education, what you've studied... And so what they do is in the first year they give you some tests like, for example, writing, English writing, and they classify you in levels and then according to your level you have to take like one or two classes that are for writing. Same thing if you want to do like mathematics, unless you want to do arts and you don't need, it but if you do something that needs mathematics like sciences, then they also place you in a level and there's... I think you need to get until multivariable calculus for most majors. So you could be placed, in function and then you have like three different classes to take, or you can be placed in the next one - vectors, or in the next one calculus. Depending on where you're placed, this is how much more you have to take classes.",,There's counseling services and many events to connect and talk about your experiences.,,,,,
EDU,1,22,TRAIN,"So this means that like for example let's say in the UK or Italy, not sure about Greece, if you want to do let's say I want to do physics, and in Italy you have to do a test before being admitted. But let's say that I want to do Physics, and I perform really poorly in the math test. What happens next?","Then you will have to take all those math classes, but that doesn't mean that you can't take the other classes. You can still take them, it's just sometimes you have prerequisites of a math class for some classes, sometimes you don't. So it just might take you more time, but it's definitely doable. This university has created a system that if you really feel like science is user thing but you messed up math a lot you can still you know take all the other classes and then do it.",,"The exams are decided by the professor of the class: how hard they are, how important they are and whether you have exams at all!",,,,,
EDU,2,1,TRAIN,What happens if you fail a test like an exam? What happens then? Like do you have a requirement to do X numbers of exams per year?,"No we don't have anything like that at all. The exams are decided by the professor in the class, whatever they want to do. So it's not like you have to give again the exam later on, you would have to take that class all over again. If you fail it, if it's a requirement for your major. If it's not a requirement for your major you do whatever you want, we don't care if you pass or fail, right. But if it's a requirement, you have to pass it.",,"The exams are decided by the professor of the class: how hard they are, how important they are and whether you have exams at all!",,,,,
EDU,2,2,TRAIN,"OK but so. So I guess my question is, can you like fail university. So for example. So in Italy there is not such a thing, right. You have usually twelve exams per year, if you don't have the 12 per year you're gonna do them the next year. But in the UK it's not like that. You have to take those exams that year and if you fail them you can retake maybe like one or two in September, but if you fail them again... I mean you're kicked out. So that's my question here. Like so is that everyone does the university in three years or four years?","No. Not everyone does the university in four years. But I also don't hear about people who fail. There's different names for it. Sometimes students take a gap year. Like when they feel like overwhelmed, you know, they take a break. They could study a bit or do something else, or it happens that students maybe didn't do enough credits and there's a number of credits you have to take. So the university also actually gives you an extra semester and still funds you. Which is crazy. Like it's your fault you didn't pass, but they still help you. You have to do two physical educations as well. If you haven't done one and you graduated, they force it to stay for summer for a physical education class.",,Not really.,,,,,
EDU,2,3,TRAIN,And they pay you.,Yeah! That's crazy too.,,"Yes, exactly.",Yes.,,,,
EDU,2,4,TRAIN,And how the universities chooses the students? And how did you learn about this university?,"Okay so how does the university choose the students. There are a lot of criteria. They say that they look at everything, as a whole, not one criterion is more important for them than the others. They look at your grades, and they look at your exam. Like international exam or your national examination or S.A.T. standardized test scores. And then they look at your extracurricular activities, your leadership activities, and then they look at your essays. There's about three essays, like ""tell us about your story when you were a leader"" or competition or something you've learned. Stuff like that. And then, ""Why do you wanna go to this university?"" and then ""What can you bring to this university?"". So they look at this whole thing as one thing. And then I found out about this university through my brother who knew a friend who was going here.",,"I think this university really tries to get leaders on board, and leaders in different types of ways. People who believe in the bigger picture and try to make a change.","I always wanted to go abroad for my education. My brother happened to know another Moldovan friend who was studying here and told me about the full ride scholarship, that Abu Dhabi is safe, that there are lots of traveling opportunities and the people are great, so it was a no-brainer.",,,,
EDU,2,5,TRAIN,"And how he knew about this university, the friend of your brother?","I have no idea, I don't remember.",,I'm not sure.,,,,,
EDU,2,6,TRAIN,What job had the parents of this friend? They were...,Well-off... or...?,,I'm not sure.,,,,,
EDU,2,7,TRAIN,"Yes, if they...",Not necessarily.,BrokenExchange,I'm not sure.,,,,,
EDU,2,8,TRAIN,They had International Relationships or knew people?,"So the way my brother knows this guy is he's also been to the same exchange program to the US for one year in high school that my brother went and I went as well later on, and this is also a scholarship kind of that you receive, you go for free for one year to the US, it's called FLEX, and it's all post-Soviet countries that have this program. And so this university also likes students that have done FLEX before, because they're kind of leaders. So because this program, exchange program, has a reputation, just like International Baccalaureate here has a good reputation. And UWC, if I'm saying the right thing.",,Not really.,,,,,
EDU,2,9,TRAIN,"I don't know. I mean it is announced somewhere in all schools, for example, in your country? And so each child has the possibility should be there to approach the program? I guess the question maybe is like do all of the schools for example at the end of the year in your country, and the last two years they have an announcement that you know there is a possibility to go there? And if you have good grades, then you go there?","Oh it's not just good grades, I told you there's so many criteria. But it's really, it's a very tough question because technically yes anybody can come here because they give this scholarship...",,"Of course NYUAD is trying to be known everywhere, but it's so only so far that you can reach.",,,,,
EDU,2,10,TRAIN,"Yes I know, but if it is the information if it is approachable to everyone, it is publicly given? So I guess there's always someone who knows, not publicly given.","It's publicly given, but it's how far it reaches, this information. Like of course this university is trying to be known everywhere, but it's so only so far that you can reach. So even in Moldova I think there was this fair or something, university fair, in which this this university sent someone to the capital or something, but it didn't reach my little village. I'm from a little village, from a little school. Literally my only privilege is the fact that I've been through that exchange program. Somehow, I was so lucky to go through, so they saw me as competent. So this is what I'm saying that technically, see I'm from a small village, I don't have rich parents, I didn't go to international education, I didn't study my school in English. But the fact that I've been for one year abroad, they already saw me as competent. So yes, I know that I'm already smart and I could have applied anyway, but I wouldn't have been so convincing if I hadn't done one year successfully in the U.S. before.",,"Of course NYUAD is trying to be known everywhere, but it's so only so far that you can reach.",,,,,
EDU,2,11,TRAIN,"And how important is to have leadership skills? I mean you have to be interested in leading? I mean because you mentioned previously that having leadership skills is something that counts. And if you're not interested, if you're very very good for example only as a scientist, is that to critical to be accepted?","I think this university really tries to get leaders on board, and leaders in different types of ways. Maybe not like leader that you have to be a president of a club in your school, but you have to have done something that maybe your peers didn't do, or you have to have maybe you opened a science club or maybe you've won some competition that others didn't. So this university's motto is...",,"I think this university really tries to get leaders on board, and leaders in different types of ways. People who believe in the bigger picture and try to make a change.",,,,,
EDU,2,12,TRAIN,For leaders!,"Yeah they keep talking about global leaders, creating global leaders, to the point that it's already a joke, here. And us students we joke about each other, ""Oh look at you, you're such a global leader"". You know, we almost mock it, it's become a joke, but it's true that they want people who actually try to change the world. So some people lie about this and their application. They know right away they want to be an investment banker and that's it. But then they say, ""I want to change their economy situation in this country and all this"".",BrokenExchange,"I think this university really tries to get leaders on board, and leaders in different types of ways. People who believe in the bigger picture and try to make a change.",,,,,
EDU,2,13,TRAIN,"Did you think that after completing your studies that this whole idea of leadership has an affect to change the character of the person that enters this university? Because it is a whole way of thinking. It's not just that one course. So at the end, how much do the students finally, when they graduate, changed and accepted this as a role?","So accepting this as a role, I don't know, because you always have, as you said artists, you have scientists, who you know, aren't I so happy about being in the center of attention and doing these things. But you know even these artists and scientists they get such prestigious roles that somehow they become slowly leaders, even though not like, ""Okay I'm going and I'm opening something new"", and me sincerely, personally, I have changed so much in these four years and it would have happened anyway because it's growing, right, it's just a matter of growing, but growing here amongst so many cultures and seeing people with such different opinions all the time and learning how to coexist peacefully when everyone's so different, that has given me so much. And also the fact that this university gave us the opportunity to travel while studying and being immersed in a not so multicultural place, but somewhere where you've never been, that also made me so much more open-minded and I don't know what I would have been without this university.",,"I do think I'm a better leader now. NYUAD made me so much more open-minded and goal-oriented, and I have better social skills, too.",,,,,
EDU,2,14,TRAIN,What's the thing you like the best about these years at NYU?,"I really love the study away opportunities. The fact that I've gotten to travel to so many places, for free. And the fact that this education was for free for me, my parents couldn't believe it. I couldn't believe it. It also gave me so much freedom to study what I want, cause since my parents weren't paying for me, I could have been, ""Well, it's my choice, you're not paying for my degree, I can study what I want"". So although I don't think I'm going right now into music anymore, I don't regret studying music. I feel so enlightened and yeah.",,"Studying at NYUAD is lovely! Good-quality people, a lot of things to do on campus, great weather and lots of traveling.","I'll miss my friends a lot and I'll miss constantly being in an environment with other intelligent, tolerant and like-minded people.",,,,
EDU,2,15,TRAIN,The scholarship just covers the fees of the university or and for living in general.,"Everything, literally everything.",,"Everything, literally everything.",,,,,
EDU,2,16,TRAIN,"You mean not only what you eat, where you stay, and for travel expenses and everything?",Everything.,,Everything.,,,,,
EDU,2,17,TRAIN,Everything.,Mhm.,,Yes.,,,,,
EDU,2,18,TRAIN,"What's this thing that you didn't like, or like you regret the most? Or if there is anything?","The thing I regret the most is maybe not taking a computer science earlier on, that would have been good. We would have had more women in STEM.",,I would have taken a computer science class earlier. I took it in my junior year and that was quite late to realize that I like it.,"I don't really regret anything. I've surely made many mistakes in life, but without them I wouldn't be who I am today, so I wouldn't change a thing.",,,,
EDU,2,19,TRAIN,"But it's okay, because in the UAE they have lots of women in STEM anyway. More than Norway and Sweden.",So I think that. But everything else I feel like I've done more than I even expected. So I'm happy.,,Sure.,,,,,
EDU,2,20,TRAIN,Did you have courses on the cultural awareness?,Oh there are such courses if you want to take.,,"There are such courses, if you want to take them, but with so much diversity all around you, you kind of learn by yourself.","You choose your classes, but you need to take some specific ones for your major and some from specific categories.",,,,
